time, x, y, z
0.00000, 0.32031, -0.03906, 1.07031 
0.00050, 0.31250, -0.03906, 1.03906 
0.00100, 0.32812, -0.07812, 1.25000 
0.00150, 0.25781, -0.06250, 1.04688 
0.00200, 0.38281, -0.03906, 1.10156 
0.00250, 0.32812, -0.09375, 1.06250 
0.00300, 0.36719, 0.00000, 1.12500 
0.00350, 0.29688, -0.05469, 1.07812 
0.00400, 0.32031, 0.00781, 1.05469 
0.00450, 0.32812, -0.07031, 1.11719 
0.00500, 0.35938, -0.03125, 1.05469 
0.00550, 0.42969, -0.07812, 1.17969 
0.00600, 0.30469, -0.04688, 1.03125 
0.00650, 0.29688, -0.03906, 1.02344 
0.00700, 0.34375, -0.06250, 1.03906 
0.00750, 0.35156, -0.03906, 1.09375 
0.00800, 0.34375, -0.05469, 1.06250 
0.00850, 0.30469, -0.07812, 1.01562 
0.00900, 0.35938, -0.03906, 1.03906 
0.00950, 0.32812, -0.02344, 1.14062 
0.01000, 0.30469, 0.00000, 1.00000 
0.01050, 0.31250, -0.03906, 1.03125 
0.01100, 0.37500, -0.06250, 1.17188 
0.01150, 0.35156, -0.03906, 1.07031 
0.01200, 0.35156, -0.02344, 1.03906 
0.01250, 0.37500, -0.06250, 1.14844 
0.01300, 0.28125, -0.04688, 1.07812 
0.01350, 0.335
