# f,ax,ay,az
0.000000000000000000e+00,1.485029211009742138e-03,6.569280373548869179e-03,1.693559384692387093e+00
5.000000000000000000e-01,7.401919451119292172e-04,3.280597325570944450e-03,8.453707448595061402e-01
1.000000000000000000e+00,2.568788301739739489e-07,4.288638423190047350e-07,4.003714050986618289e-06
1.500000000000000000e+00,2.837403720182806629e-07,2.011186826675221551e-07,6.504274706458576934e-06
2.000000000000000000e+00,1.934643771696902352e-08,3.218721443252060229e-06,3.461817454592975620e-06
2.500000000000000000e+00,4.622340375423273469e-08,4.273807720625867252e-06,4.543784310196327902e-07
3.000000000000000000e+00,4.603870676072331255e-08,4.229313591242079542e-07,1.152857374917363514e-07
3.500000000000000000e+00,1.252643739181849645e-07,5.883373047606099113e-07,8.246834603893837471e-08
4.000000000000000000e+00,6.011392019433634980e-08,1.399207857703939121e-06,1.136665943261773071e-06
4.500000000000000000e+00,7.387210192638003950e-07,1.776710469115137122e-07,6.209961028762141954e-07
5.000000000000000000e+00,9.983309131033075759e-07,2.598491231441937894e-07,2.115218295949136913e-06
5.500000000000000000e+00,6.495569604144375888e-07,2.144172488687480727e-07,1.108420425814273235e-06
6.000000000000000000e+00,2.677937523832713509e-06,9.539779561526340336e-07,5.515831798646227618e-07
6.500000000000000000e+00,1.577893747518004736e-06,2.823927574467311515e-06,1.059464120235656056e-06
7.000000000000000000e+00,1.232995853528789521e-06,1.480076213187471714e-06,1.504996301991168116e-06
7.500000000000000000e+00,2.062651111487625821e-06,5.076866935453639993e-07,3.705717287357599176e-06
8.000000000000000000e+00,1.882196645168811720e-06,1.253832468516621916e-06,1.179293772993769142e-07
8.500000000000000000e+00,9.305769885077819498e-07,6.637572481914820998e-07,2.069254271430884454e-06
9.000000000000000000e+00,3.018331477024042303e-06,6.455202298568127991e-07,1.334086475316706918e-06
9.500000000000000000e+00,3.283290047621040718e-06,1.967321814644410734e-06,2.823717627472601454e-06
1.000000000000000000e+01,2.997915528080404733e-06,1.127794627757301577e-06,2.871897560445061628e-06
1.050000000000000000e+01,3.061195287048265173e-06,3.577717670268874306e-07,1.088592853219202659e-06
1.100000000000000000e+01,1.065595099243374717e-06,1.751808877283189601e-06,3.875174103285964621e-06
1.150000000000000000e+01,1.102696761678484453e-06,1.136951900144901380e-06,9.314813677610256016e-07
1.200000000000000000e+01,9.662817103050249321e-07,9.060085517681922480e-09,6.064896199687458949e-09
1.250000000000000000e+01,4.724324245426206823e-08,2.358646087832901269e-07,3.805108446503968442e-07
1.300000000000000000e+01,1.622964510596564428e-06,5.912108447283799523e-08,1.211317224016094432e-06
1.350000000000000000e+01,2.580226496071434800e-06,3.410477860956926628e-07,2.256683519345177747e-06
1.400000000000000000e+01,1.927169835650430990e-06,7.451047037127371261e-07,2.684067416897462559e-06
1.450000000000000000e+01,3.046352414491084642e-07,8.051721027952721977e-07,2.140443092557237897e-06
1.500000000000000000e+01,2.086472938079235629e-07,1.015733287533661292e-07,3.286897504995790650e-06
1.550000000000000000e+01,2.406592118392026395e-08,8.907650555547856002e-07,4.057394679724575035e-06
1.600000000000000000e+01,4.963049551170994513e-08,1.195958557749065941e-06,2.418462560472047161e-06
1.650000000000000000e+01,6.517778169055308912e-07,2.371190532284537654e-06,1.378797127076931230e-06
1.700000000000000000e+01,1.215311200259040311e-07,2.105971708936223934e-06,9.337823927164387136e-07
1.750000000000000000e+01,6.080839378933295618e-07,2.943510586576704321e-07,1.871360772928425181e-06
1.800000000000000000e+01,2.098802723248498190e-07,2.233495729129640140e-08,1.803149376957546563e-07
1.850000000000000000e+01,4.587526641799384687e-07,1.681666644122677157e-07,2.191830224874639311e-06
1.900000000000000000e+01,1.710848374397121579e-06,1.676113894301742182e-07,9.481426710753520176e-07
